name,   gwa
"Flores, Daniel E.",73.0
"Garcia, Nicole ",76.0
"Fernandez, Alyssa D.",78.9
"Ramos, Kevin F.",82.1
"Perez, Jasmine E.",83.5
"Reyes, Joshua G.",85.9
"Hernandez, Miguel O.",86.0
"Villanueva, Ethan M.",88.7
"Bautista,  Nathan J.",89.06
"Gomez, Trisha F.",89.4
"Dela Cruz, Mark V.",90.0
"Santos, Andrea H.",90.8
"Cruz, Bianca L.",91.2
"Morales, Sean C.",91.4
"Mendoza, Angela B.",91.9
"Castillo, Sophia C.",93.0
"Navarro, Camille D.",95.5
"Aquino, Carl",97.3
"Torres, Michael I.",97.6
"Lopez, Leslie A.",98.0
