name,   gwa
"Aquino, Carl",97.3
"Bautista,  Nathan J.",89.06
"Castillo, Sophia C.",93
"Cruz, Bianca L.",91.2
"Dela Cruz, Mark V.",90
"Fernandez, Alyssa D.",78.9
"Flores, Daniel E.",73.0
"Garcia, Nicole ",76
"Gomez, Trisha F.",89.4
"Hernandez, Miguel O.",86
"Lopez, Leslie A.",98
"Mendoza, Angela B.",91.9
"Morales, Sean C.",91.4
"Navarro, Camille D.",95.5
"Perez, Jasmine E.",83.5
"Ramos, Kevin F.",82.1
"Reyes, Joshua G.",85.9
"Santos, Andrea H.",90.8
"Torres, Michael I.",97.6
"Villanueva, Ethan M.",88.7
